rpm,engine_temp_c,vibration_g,throttle_pct,oil_pressure_bar,fuel_flow_l_h
2373.8,96.4,0.396,72.3,3.87,25.64
2151.6,93.5,0.438,83.8,4.32,27.42
2426.7,88.4,0.387,33.2,4.03,19.08
2733.1,84.1,0.425,82.9,3.64,28.95
2118.0,92.2,0.299,45.2,3.9,20.29
2118.1,90.4,0.467,39.3,3.7,19.29
2752.7,93.4,0.45,18.5,3.8,17.94
2468.6,91.8,0.385,18.7,3.67,16.43
2035.7,94.3,0.503,63.4,3.73,23.57
2389.9,84.8,0.525,47.1,3.88,20.68
2037.8,95.9,0.321,30.9,3.4,16.9
2037.0,89.2,0.389,58.0,3.39,22.45
2284.7,100.5,0.388,32.7,3.24,19.27
1530.4,83.9,0.375,55.4,3.16,19.55
1596.3,98.4,0.516,40.1,3.31,17.23
2003.2,89.2,0.434,72.6,3.86,24.45
1845.5,84.1,0.429,72.4,3.44,23.75
2310.0,85.1,0.29,48.4,4.01,20.76
1882.2,86.1,0.501,39.6,3.81,17.89
1705.7,90.5,0.351,40.4,3.01,18.05
2713.0,91.1,0.455,71.4,4.06,27.76
2121.0,84.6,0.472,38.0,4.12,18.55
2223.6,87.9,0.559,29.6,3.4,18.0
1701.3,100.9,0.345,20.9,3.97,14.1
2009.5,98.4,0.208,47.7,3.46,20.87
2238.8,90.6,0.465,48.7,3.84,21.08
1797.2,88.2,0.594,73.9,3.29,24.2
2331.5,88.7,0.549,30.5,3.08,18.25
1989.8,91.7,0.467,41.7,3.65,19.65
2097.9,81.9,0.411,71.6,3.75,24.24
1989.4,86.5,0.515,72.7,3.64,24.75
2848.3,78.0,0.372,41.9,3.33,21.78
2195.3,90.4,0.488,47.1,3.64,20.84
1829.8,91.9,0.49,36.2,3.91,17.55
2487.9,85.1,0.535,80.3,3.78,27.44
1772.7,97.4,0.671,23.3,3.87,15.31
2273.1,80.6,0.481,80.4,3.53,26.71
1514.1,79.2,0.409,62.9,4.27,20.72
1735.1,89.3,0.448,52.2,3.33,20.04
2268.9,94.3,0.308,17.3,4.0,16.26
2458.5,98.1,0.394,48.3,4.27,22.77
2260.0,85.2,0.417,43.5,3.99,19.89
2159.5,94.5,0.408,26.3,3.72,17.49
2094.6,87.8,0.462,60.9,3.59,22.46
1682.5,87.0,0.384,83.0,4.21,25.45
1948.1,93.3,0.54,54.4,3.23,21.6
2038.8,91.9,0.45,65.0,3.41,22.92
2570.0,78.5,0.449,19.8,3.64,16.9
2320.3,96.9,0.424,44.2,4.3,20.97
1582.9,96.3,0.462,23.1,3.95,14.25
2313.4,84.2,0.516,57.9,3.41,23.48
2065.2,90.4,0.381,80.7,3.68,26.21
1963.1,91.0,0.397,61.3,3.55,22.31
2414.1,89.6,0.426,20.4,3.52,16.9
2560.8,84.7,0.342,39.8,4.19,20.95
2525.9,84.0,0.384,53.5,3.25,22.97
1906.3,87.8,0.412,43.2,4.44,19.39
2091.8,95.0,0.52,73.4,4.13,25.62
2315.9,91.3,0.471,72.0,4.24,25.11
2541.4,85.8,0.465,57.8,3.61,23.74
2032.3,92.6,0.518,41.1,3.74,19.1
2135.0,70.9,0.439,32.9,3.23,17.39
1812.8,94.9,0.481,22.4,3.59,14.27
1781.3,77.6,0.442,39.8,4.0,18.32
2484.4,85.8,0.471,43.9,4.32,21.39
2674.7,81.3,0.403,62.3,3.36,25.09
2174.8,80.2,0.255,61.1,3.65,23.28
2551.2,95.0,0.439,19.9,3.74,18.37
2326.6,85.2,0.564,42.7,3.24,20.66
1974.2,90.1,0.524,27.7,4.04,16.88
2326.5,87.7,0.527,26.0,3.51,17.51
2738.3,90.9,0.549,72.9,3.72,27.57
2187.5,88.5,0.457,17.9,3.62,15.35
2747.6,80.3,0.466,44.3,3.48,21.75
1283.1,94.0,0.401,26.8,3.8,13.68
2487.7,85.0,0.425,76.6,3.71,26.59
2230.5,78.7,0.499,54.0,3.65,21.71
2095.3,85.4,0.546,31.2,3.51,16.83
2232.1,97.0,0.439,50.2,3.93,21.94
1504.4,93.1,0.414,66.2,4.46,21.81
2123.1,85.9,0.45,82.1,3.86,26.76
2325.0,85.9,0.498,30.4,4.2,18.0
2717.3,86.1,0.334,77.0,3.24,29.14
