vehicle_id,fuel_type,transmission,vehicle_segment,owner_type,engine_size_cc,horsepower_hp,curb_weight_kg,mileage_kmpl,odometer_reading_km,maintenance_score,vehicle_price_lakhs
TAT-VEH-1000,Petrol,Automatic,Hatchback,First,1224.2,86.1,1377.1,12.33,9530.0,9.98,14.0
TAT-VEH-1001,Electric,Manual,Hatchback,First,0.0,120.7,1036.2,24.69,48799.0,8.58,17.08
TAT-VEH-1002,Diesel,Manual,Sedan,First,1758.7,151.2,1666.2,21.93,11076.0,9.65,26.7
TAT-VEH-1003,Diesel,Manual,Hatchback,First,1284.9,99.1,1460.7,21.42,64478.0,8.13,17.3
TAT-VEH-1004,Petrol,Manual,SUV,First,1894.9,149.7,1785.4,15.45,20636.0,9.28,28.09
TAT-VEH-1005,Petrol,Automatic,Sedan,First,1549.4,106.3,1595.3,6.64,57688.0,,20.22
TAT-VEH-1006,Petrol,Automatic,Sedan,Second,1449.9,94.1,1497.4,13.57,4207.0,9.69,18.18
TAT-VEH-1007,CNG,Manual,Hatchback,First,1198.2,83.0,1368.7,23.25,25581.0,8.48,17.73
TAT-VEH-1008,Diesel,Manual,Luxury,Third,2862.8,213.2,2241.4,16.26,56940.0,7.81,33.44
TAT-VEH-1009,Diesel,Automatic,Sedan,Third,1465.1,97.1,1509.1,19.34,13579.0,8.22,20.05
TAT-VEH-1010,Petrol,Manual,SUV,First,2051.0,153.7,1889.0,14.24,73377.0,8.92,27.67
TAT-VEH-1011,Electric,Manual,Hatchback,First,0.0,,937.3,19.94,46836.0,,16.37
TAT-VEH-1012,CNG,Manual,Sedan,First,1299.3,84.0,1419.1,22.38,41855.0,8.11,15.66
TAT-VEH-1013,Petrol,Automatic,Hatchback,Second,1044.6,86.4,1343.3,,21632.0,9.01,15.72
TAT-VEH-1014,Petrol,Automatic,Sedan,First,1220.3,98.8,1388.2,18.86,31639.0,8.51,15.24
TAT-VEH-1015,Petrol,Manual,Luxury,First,2352.9,171.8,1973.6,13.52,42936.0,9.5,29.23
TAT-VEH-1016,Petrol,Manual,Sedan,First,1254.5,81.9,1405.4,13.96,30779.0,8.07,13.95
TAT-VEH-1017,Diesel,Automatic,Hatchback,Second,1220.9,79.2,1318.6,17.72,55926.0,8.27,12.67
TAT-VEH-1018,Petrol,Automatic,Hatchback,Second,1063.1,75.3,1327.8,16.52,27588.0,8.95,12.79
TAT-VEH-1019,Petrol,Manual,Sedan,First,1600.7,127.8,1585.0,16.87,12170.0,9.95,22.08
TAT-VEH-1020,Diesel,Automatic,Hatchback,Second,1202.2,101.3,1477.2,10.47,12832.0,9.37,18.99
TAT-VEH-1021,Petrol,Manual,Hatchback,First,901.7,61.7,1336.7,18.56,2262.0,8.68,14.41
TAT-VEH-1022,Petrol,Manual,SUV,First,2161.7,148.3,1834.3,19.81,18112.0,9.13,25.34
TAT-VEH-1023,Petrol,Automatic,Sedan,Second,1660.2,127.7,1677.0,12.35,64189.0,7.38,22.75
TAT-VEH-1024,Diesel,Manual,Hatchback,First,1047.9,68.7,1252.2,16.28,73130.0,7.76,11.27
TAT-VEH-1025,Diesel,Automatic,Luxury,First,3161.1,230.9,2485.7,17.74,12180.0,,38.47
TAT-VEH-1026,Petrol,Manual,Hatchback,First,1068.5,96.0,1300.7,13.23,145787.0,4.59,12.53
TAT-VEH-1027,Diesel,Manual,Luxury,Second,3032.1,237.3,2428.5,19.63,33408.0,8.37,42.23
TAT-VEH-1028,Diesel,Automatic,Hatchback,Second,1007.3,,1252.4,13.55,113990.0,6.21,11.49
TAT-VEH-1029,Petrol,Manual,SUV,First,1549.7,101.0,1534.5,12.15,57205.0,7.94,16.96
TAT-VEH-1030,Diesel,Automatic,Sedan,Second,1421.4,109.1,1468.7,23.31,59676.0,8.54,15.76
TAT-VEH-1031,,Manual,SUV,First,1967.1,160.3,1880.4,,6000.0,9.52,28.07
TAT-VEH-1032,Petrol,Manual,Luxury,First,2833.9,208.0,2220.0,19.23,13180.0,9.67,35.89
TAT-VEH-1033,Electric,Manual,Hatchback,First,0.0,173.8,1212.1,22.89,2398.0,9.36,26.24
TAT-VEH-1034,Electric,Automatic,Luxury,First,0.0,,1163.5,17.48,58665.0,8.26,21.65
TAT-VEH-1035,CNG,Manual,Sedan,First,1261.2,114.6,1472.2,25.77,21002.0,9.67,19.0
TAT-VEH-1036,Petrol,Automatic,Sedan,Third,1418.0,110.0,1528.7,15.15,71517.0,7.32,20.16
TAT-VEH-1037,Petrol,Manual,Hatchback,First,1237.4,99.9,1394.7,14.13,20626.0,9.68,20.29
TAT-VEH-1038,Diesel,Automatic,Sedan,First,1489.0,128.6,1603.2,19.69,79000.0,7.57,18.96
TAT-VEH-1039,,Manual,Hatchback,First,1224.4,97.2,1498.1,16.92,8303.0,10.0,19.83
TAT-VEH-1040,Petrol,Automatic,Sedan,First,1364.0,96.3,1429.2,,10568.0,9.38,16.51
TAT-VEH-1041,Diesel,Automatic,Sedan,Third,1732.3,124.5,1726.1,22.3,20758.0,9.44,24.85
TAT-VEH-1042,Petrol,Automatic,SUV,First,1704.0,130.7,1748.1,16.72,25628.0,9.04,23.77
TAT-VEH-1043,CNG,Automatic,SUV,First,2119.9,143.5,1809.9,21.75,21296.0,9.13,26.84
TAT-VEH-1044,Petrol,Automatic,Sedan,Second,1734.4,128.4,1605.3,14.08,66909.0,8.04,18.19
TAT-VEH-1045,Diesel,Automatic,Hatchback,First,1269.1,108.3,1480.0,27.24,6589.0,9.93,21.15
TAT-VEH-1046,Petrol,Manual,Hatchback,First,1166.6,61.2,1283.9,,21470.0,,12.89
TAT-VEH-1047,Diesel,Manual,Hatchback,First,1117.8,102.2,1490.2,25.63,83697.0,8.27,17.65
TAT-VEH-1048,Diesel,Automatic,Hatchback,First,1352.4,114.9,1512.3,22.91,5111.0,8.54,22.52
TAT-VEH-1049,Petrol,Automatic,Hatchback,Third,983.6,68.3,1224.9,16.23,130396.0,5.66,9.2
TAT-VEH-1050,Electric,Automatic,Hatchback,Second,0.0,153.6,1076.6,22.75,195122.0,4.17,15.11
TAT-VEH-1051,Diesel,Manual,Luxury,First,2605.0,195.4,2204.7,18.9,6173.0,9.87,35.39
