car_name,model_year,age_years,present_price_lakhs,kms_driven,fuel_type,seller_type,transmission,owner_count,selling_price_lakhs
Toyota Innova Crysta,2011,13,23.05,141371,Diesel,Dealer,Manual,1,3.55
Tata Harrier,2018,6,21.15,91447,Diesel,Dealer,Manual,0,9.65
Toyota Fortuner,2022,2,34.24,22677,Petrol,Dealer,Automatic,0,27.17
Mahindra XUV700,2021,3,21.76,46614,Diesel,Dealer,Automatic,0,14.11
Toyota Innova Crysta,2022,2,22.66,28658,Diesel,Dealer,Automatic,0,18.71
Hyundai Creta,2022,2,13.99,29332,Diesel,Individual,Automatic,0,10.68
Tata Nexon,2014,10,11.61,138846,Diesel,Individual,Manual,1,2.67
Toyota Innova Crysta,2014,10,28.06,112284,Diesel,Individual,Manual,1,5.61
Toyota Fortuner,2015,9,37.2,84861,Diesel,Individual,Automatic,0,11.96
Mahindra XUV700,2018,6,20.34,71442,Diesel,Dealer,Automatic,0,9.15
Tata Harrier,2015,9,19.79,104582,Diesel,Dealer,Automatic,0,6.27
Toyota Fortuner,2018,6,34.81,93904,Diesel,Individual,Automatic,1,12.55
Toyota Fortuner,2020,4,33.04,48124,Diesel,Individual,Automatic,1,17.59
Tata Nexon,2011,13,12.08,151124,Diesel,Dealer,Manual,0,2.34
Honda City,2022,2,14.64,19836,Petrol,Dealer,Automatic,0,11.41
Mahindra XUV700,2020,4,21.27,54488,Diesel,Dealer,Automatic,1,11.44
Hyundai i20,2019,5,8.42,55912,Petrol,Individual,Manual,0,3.89
Toyota Fortuner,2016,8,31.08,87574,Diesel,Dealer,Automatic,0,11.49
Honda City,2013,11,14.4,136799,Petrol,Individual,Automatic,1,2.55
Hyundai i20,2023,1,9.2,12620,Petrol,Individual,Manual,0,7.22
Mahindra XUV700,2018,6,25.15,52855,Diesel,Dealer,Automatic,1,11.42
Maruti Swift,2019,5,6.69,45014,Petrol,Dealer,Manual,0,3.02
Hyundai Creta,2016,8,16.79,98875,Diesel,Individual,Automatic,0,5.92
Honda City,2021,3,16.15,28472,Petrol,Individual,Automatic,0,10.05
Maruti Baleno,2017,7,7.67,90708,Petrol,Individual,Manual,0,1.87
Maruti Swift,2011,13,7.39,115084,Petrol,Dealer,Manual,0,1.2
