device_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_mode,failure
ECU_SENS_01001,300.99,311.12,1400.1,31.76,107.4,No_Failure,0
ECU_SENS_01002,299.72,309.29,1561.8,32.81,231.7,No_Failure,0
ECU_SENS_01003,301.3,311.42,1431.6,60.5,90.6,Power_Failure,1
ECU_SENS_01004,303.05,313.59,1481.1,40.01,62.0,No_Failure,0
ECU_SENS_01005,299.53,309.58,1831.2,47.82,58.4,Power_Failure,1
ECU_SENS_01006,299.53,309.57,1771.3,32.09,109.9,No_Failure,0
ECU_SENS_01007,303.16,312.46,1296.1,32.2,182.3,No_Failure,0
ECU_SENS_01008,301.53,310.87,1679.4,50.82,49.4,No_Failure,0
ECU_SENS_01009,299.06,307.66,1676.1,26.5,170.2,No_Failure,0
ECU_SENS_01010,301.09,312.83,1323.3,35.85,5.1,No_Failure,0
ECU_SENS_01011,299.07,307.83,1677.4,40.34,100.5,No_Failure,0
ECU_SENS_01012,299.07,308.38,1806.8,41.11,186.2,No_Failure,0
ECU_SENS_01013,300.48,309.77,1327.9,38.21,81.3,No_Failure,0
ECU_SENS_01014,296.17,307.07,1364.8,43.96,135.3,No_Failure,0
ECU_SENS_01015,296.55,306.26,1713.2,46.93,49.2,No_Failure,0
ECU_SENS_01016,298.88,310.12,1578.9,47.35,178.1,No_Failure,0
ECU_SENS_01017,297.97,307.3,1629.3,30.14,12.5,No_Failure,0
ECU_SENS_01018,300.63,310.91,1591.3,37.16,204.6,No_Failure,0
ECU_SENS_01019,298.18,307.35,1600.3,51.95,47.6,No_Failure,0
ECU_SENS_01020,297.18,309.32,1291.2,48.95,209.9,No_Failure,0
ECU_SENS_01021,302.93,311.74,1718.5,26.27,84.6,No_Failure,0
ECU_SENS_01022,299.55,309.86,1740.5,43.51,173.4,No_Failure,0
ECU_SENS_01023,300.14,310.77,1488.7,20.22,76.6,Power_Failure,1
ECU_SENS_01024,297.15,307.56,1522.2,40.47,217.4,Tool_Wear_Failure,1
ECU_SENS_01025,298.91,308.73,1254.4,58.98,30.4,No_Failure,0
ECU_SENS_01026,300.22,310.09,1622.6,30.52,42.8,No_Failure,0
