sample_id,class_id,class_name,resolution,channels
IMG_0001,0,Speed_Limit_30,32x32,3
IMG_0002,0,Speed_Limit_30,32x32,3
IMG_0003,0,Speed_Limit_30,32x32,3
IMG_0004,0,Speed_Limit_30,32x32,3
IMG_0005,0,Speed_Limit_30,32x32,3
IMG_0006,0,Speed_Limit_30,32x32,3
IMG_0007,0,Speed_Limit_30,32x32,3
IMG_0008,0,Speed_Limit_30,32x32,3
IMG_0009,0,Speed_Limit_30,32x32,3
IMG_0010,0,Speed_Limit_30,32x32,3
IMG_0011,0,Speed_Limit_30,32x32,3
IMG_0012,0,Speed_Limit_30,32x32,3
IMG_0013,0,Speed_Limit_30,32x32,3
IMG_0014,0,Speed_Limit_30,32x32,3
IMG_0015,0,Speed_Limit_30,32x32,3
IMG_0016,0,Speed_Limit_30,32x32,3
IMG_0017,0,Speed_Limit_30,32x32,3
IMG_0018,0,Speed_Limit_30,32x32,3
IMG_0019,0,Speed_Limit_30,32x32,3
IMG_0020,0,Speed_Limit_30,32x32,3
IMG_0021,0,Speed_Limit_30,32x32,3
IMG_0022,0,Speed_Limit_30,32x32,3
IMG_0023,0,Speed_Limit_30,32x32,3
IMG_0024,0,Speed_Limit_30,32x32,3
IMG_0025,0,Speed_Limit_30,32x32,3
IMG_0026,0,Speed_Limit_30,32x32,3
IMG_0027,0,Speed_Limit_30,32x32,3
IMG_0028,0,Speed_Limit_30,32x32,3
IMG_0029,0,Speed_Limit_30,32x32,3
IMG_0030,0,Speed_Limit_30,32x32,3
IMG_0031,0,Speed_Limit_30,32x32,3
IMG_0032,0,Speed_Limit_30,32x32,3
IMG_0033,0,Speed_Limit_30,32x32,3
IMG_0034,0,Speed_Limit_30,32x32,3
IMG_0035,0,Speed_Limit_30,32x32,3
IMG_0036,0,Speed_Limit_30,32x32,3
IMG_0037,0,Speed_Limit_30,32x32,3
IMG_0038,0,Speed_Limit_30,32x32,3
IMG_0039,0,Speed_Limit_30,32x32,3
IMG_0040,0,Speed_Limit_30,32x32,3
IMG_0041,0,Speed_Limit_30,32x32,3
IMG_0042,0,Speed_Limit_30,32x32,3
IMG_0043,0,Speed_Limit_30,32x32,3
IMG_0044,0,Speed_Limit_30,32x32,3
IMG_0045,0,Speed_Limit_30,32x32,3
IMG_0046,0,Speed_Limit_30,32x32,3
IMG_0047,0,Speed_Limit_30,32x32,3
IMG_0048,0,Speed_Limit_30,32x32,3
IMG_0049,0,Speed_Limit_30,32x32,3
IMG_0050,0,Speed_Limit_30,32x32,3
IMG_0051,0,Speed_Limit_30,32x32,3
IMG_0052,0,Speed_Limit_30,32x32,3
IMG_0053,0,Speed_Limit_30,32x32,3
IMG_0054,0,Speed_Limit_30,32x32,3
IMG_0055,0,Speed_Limit_30,32x32,3
IMG_0056,0,Speed_Limit_30,32x32,3
IMG_0057,0,Speed_Limit_30,32x32,3
IMG_0058,0,Speed_Limit_30,32x32,3
IMG_0059,0,Speed_Limit_30,32x32,3
IMG_0060,0,Speed_Limit_30,32x32,3
IMG_0061,0,Speed_Limit_30,32x32,3
IMG_0062,0,Speed_Limit_30,32x32,3
IMG_0063,0,Speed_Limit_30,32x32,3
IMG_0064,0,Speed_Limit_30,32x32,3
