curb_weight_kg,engine_displacement_cc,horsepower_hp,aerodynamic_cd,frontal_area_m2,rolling_crr,cylinders,gear_count,uninformative_noise,fuel_consumption_l_100km
1559.3,2182.0,159.1,0.272,2.07,0.0086,4,6,63.08,15.52
1419.6,2001.0,150.7,0.293,2.2,0.0085,4,6,54.86,14.74
1592.5,1673.0,119.2,0.302,2.2,0.0072,4,6,62.36,14.59
1785.1,1404.0,103.6,0.348,2.27,0.0087,4,5,47.54,15.9
1398.5,1915.0,126.6,0.321,1.99,0.0097,4,8,68.03,13.95
1398.5,1800.0,138.9,0.283,2.29,0.0077,4,6,50.13,14.62
1797.4,1990.0,151.3,0.32,1.85,0.01,4,6,50.87,16.09
1618.8,1891.0,135.6,0.279,2.11,0.0095,4,6,46.02,15.63
1346.7,2049.0,162.3,0.332,2.13,0.0083,4,6,60.27,15.49
1569.4,1447.0,119.3,0.301,2.29,0.0089,4,7,43.68,14.3
1348.0,2151.0,147.4,0.308,2.2,0.0106,4,8,64.65,14.98
1347.5,1725.0,123.5,0.337,1.99,0.0097,4,6,33.02,14.12
1503.2,2439.0,177.6,0.284,2.05,0.009,6,7,33.52,15.67
1029.1,1388.0,96.1,0.282,2.23,0.0088,4,6,60.31,12.06
1070.5,2310.0,183.8,0.298,2.19,0.0091,4,5,48.67,15.18
1326.3,1725.0,129.2,0.331,2.11,0.0085,4,7,43.19,13.89
1227.2,1402.0,103.9,0.28,2.13,0.0069,4,6,63.35,11.86
1519.1,1466.0,91.4,0.26,2.3,0.011,4,7,40.89,13.22
1250.2,1528.0,122.5,0.301,2.12,0.0092,4,7,47.0,12.99
1139.3,1811.0,125.3,0.321,2.19,0.0094,4,6,70.99,14.25
1772.4,1849.0,141.1,0.334,2.53,0.0089,4,8,73.09,16.5
1400.3,1432.0,111.6,0.301,1.99,0.0083,4,7,73.59,12.67
1464.9,1641.0,138.3,0.302,1.92,0.0088,4,6,45.77,13.91
1136.6,2464.0,174.2,0.333,2.32,0.0074,6,6,68.46,15.58
1330.2,2306.0,145.1,0.273,2.1,0.0113,4,6,35.77,14.7
1474.4,1816.0,139.8,0.302,2.15,0.0078,4,8,36.4,13.96
1196.8,1664.0,144.5,0.314,2.08,0.008,4,7,14.74,13.08
1532.7,1696.0,141.3,0.319,2.16,0.0086,4,5,75.09,15.44
1317.9,1883.0,145.2,0.3,2.44,0.0103,4,6,37.04,15.26
1385.8,1261.0,90.9,0.311,2.32,0.009,4,6,48.1,13.39
1317.6,1552.0,126.0,0.26,2.33,0.0078,4,5,36.35,13.53
1857.5,1016.0,67.5,0.297,1.99,0.0103,3,5,60.43,14.24
1447.0,1802.0,141.7,0.319,2.03,0.0097,4,6,44.37,15.21
1217.3,1896.0,149.1,0.29,1.85,0.0095,4,6,30.43,12.85
1631.0,1466.0,122.0,0.311,2.08,0.0097,4,6,56.62,14.75
1181.4,2248.0,198.5,0.319,2.34,0.0114,4,6,28.49,16.33
1495.9,1184.0,93.9,0.303,2.28,0.0112,3,5,37.44,14.14
1018.9,1094.0,78.0,0.313,2.17,0.0083,3,7,18.4,10.98
1157.8,1735.0,131.6,0.291,2.2,0.0106,4,6,28.64,13.62
1493.3,2048.0,137.9,0.306,2.1,0.0094,4,6,52.68,15.31
1612.5,2290.0,167.1,0.322,2.23,0.0095,4,6,20.53,16.5
1487.7,1476.0,108.1,0.313,2.31,0.0073,4,6,27.78,14.08
1424.6,2060.0,151.3,0.298,1.96,0.0088,4,5,49.96,14.84
1383.8,1635.0,125.8,0.314,2.24,0.0082,4,5,41.85,14.73
1124.7,1584.0,112.2,0.324,2.34,0.0098,4,5,79.88,14.29
1291.6,1986.0,162.1,0.269,2.14,0.0101,4,7,77.51,14.22
1348.7,1898.0,144.2,0.333,2.31,0.0069,4,7,36.98,14.91
1682.6,1051.0,79.8,0.303,2.62,0.009,3,7,58.36,14.45
1525.6,2211.0,164.8,0.319,2.18,0.0101,4,7,61.24,16.5
1062.1,2174.0,166.8,0.334,2.26,0.0088,4,7,41.04,15.21
1521.3,1412.0,115.6,0.283,2.09,0.0097,4,6,27.57,13.57
1365.3,1800.0,128.2,0.296,2.23,0.0094,4,6,49.82,14.35
1301.1,1838.0,133.1,0.304,2.27,0.0093,4,5,47.41,14.89
1584.6,1749.0,129.9,0.294,2.23,0.0087,4,6,43.46,14.71
1676.8,1441.0,96.0,0.345,2.05,0.0078,4,7,56.63,14.33
1654.9,1395.0,97.8,0.293,2.23,0.0079,4,6,38.74,14.29
1265.4,1640.0,119.9,0.299,2.42,0.0097,4,6,32.72,14.4
